2025-01-31 17:13:47 [main] INFO  org.testng.internal.Utils - [TestNG] Running:
  C:\Users\Christian\IdeaProjects\DemoBlaze\src\test\resources\testng.xml

2025-01-31 17:13:48 [TestNG-tests-2] INFO  BaseTest.BaseTest - Starting Test using Edge browser
2025-01-31 17:13:48 [TestNG-tests-2] INFO  BaseTest.BaseTest - Opening the website
2025-01-31 17:13:48 [TestNG-tests-1] INFO  BaseTest.BaseTest - Starting test using Chrome browser
2025-01-31 17:13:48 [TestNG-tests-1] INFO  BaseTest.BaseTest - Opening the website
2025-01-31 17:13:49 [TestNG-tests-2] INFO  BaseTest.BaseTest - Navigating to the Login page
2025-01-31 17:13:49 [TestNG-tests-1] INFO  BaseTest.BaseTest - Navigating to the Login page
2025-01-31 17:13:49 [TestNG-tests-2] INFO  BaseTest.BaseTest - Entering username
2025-01-31 17:13:49 [TestNG-tests-2] INFO  BaseTest.BaseTest - Entering password
2025-01-31 17:13:49 [TestNG-tests-2] INFO  BaseTest.BaseTest - Logging in
2025-01-31 17:13:50 [TestNG-tests-1] INFO  BaseTest.BaseTest - Entering username
2025-01-31 17:13:50 [TestNG-tests-1] INFO  BaseTest.BaseTest - Entering password
2025-01-31 17:13:50 [TestNG-tests-1] INFO  BaseTest.BaseTest - Logging in
2025-01-31 17:13:50 [TestNG-tests-1] INFO  BaseTest.BaseTest - Browser closed
2025-01-31 17:13:51 [TestNG-tests-1] INFO  BaseTest.BaseTest - Starting test using Chrome browser
2025-01-31 17:13:51 [TestNG-tests-1] INFO  BaseTest.BaseTest - Opening the website
2025-01-31 17:13:51 [TestNG-tests-2] INFO  BaseTest.BaseTest - Browser closed
2025-01-31 17:13:51 [TestNG-tests-1] INFO  BaseTest.BaseTest - Navigating to the Login page
2025-01-31 17:13:52 [TestNG-tests-2] INFO  BaseTest.BaseTest - Starting Test using Edge browser
2025-01-31 17:13:52 [TestNG-tests-2] INFO  BaseTest.BaseTest - Opening the website
2025-01-31 17:13:52 [TestNG-tests-1] INFO  BaseTest.BaseTest - Entering username
2025-01-31 17:13:52 [TestNG-tests-1] INFO  BaseTest.BaseTest - Entering password
2025-01-31 17:13:52 [TestNG-tests-1] INFO  BaseTest.BaseTest - Logging in
2025-01-31 17:13:52 [TestNG-tests-1] INFO  BaseTest.BaseTest - Browser closed
2025-01-31 17:13:53 [TestNG-tests-2] INFO  BaseTest.BaseTest - Navigating to the Login page
2025-01-31 17:13:53 [TestNG-tests-2] INFO  BaseTest.BaseTest - Entering username
2025-01-31 17:13:53 [TestNG-tests-2] INFO  BaseTest.BaseTest - Entering password
2025-01-31 17:13:53 [TestNG-tests-2] INFO  BaseTest.BaseTest - Logging in
2025-01-31 17:13:55 [TestNG-tests-2] INFO  BaseTest.BaseTest - Browser closed
